1024,71017,72013,72843,712.06
2048,75756,77270,78563,1170.3
3072,80065,81759,83228,1384.3
4096,85065,85495,85935,275.26
5120,89474,89892,90320,287.1
6144,94163,95338,96818,1008.3
7168,99195,99557,99967,229.14
8192,1.0389e+05,1.0424e+05,1.0471e+05,239.17
16384,1.4156e+05,1.4186e+05,1.4229e+05,224.25
24576,1.7914e+05,1.7947e+05,1.7992e+05,257
32768,2.1684e+05,2.1714e+05,2.1752e+05,210.02
40960,2.5442e+05,2.548e+05,2.5521e+05,271.42
49152,2.9182e+05,2.9222e+05,2.9276e+05,260.25
57344,3.2978e+05,3.3007e+05,3.3036e+05,210.12
65536,3.6727e+05,3.6768e+05,3.6801e+05,254.32
1.3107e+05,6.6836e+05,6.6871e+05,6.6915e+05,268.61
2.6214e+05,1.2705e+06,1.2708e+06,1.2712e+06,228.59
3.9322e+05,1.8726e+06,1.8729e+06,1.8733e+06,210.92
5.2429e+05,2.4747e+06,2.475e+06,2.4755e+06,242.3
6.5536e+05,3.0765e+06,3.077e+06,3.0776e+06,332.37
7.8643e+05,3.6786e+06,3.6791e+06,3.6797e+06,326.82
9.175e+05,4.2811e+06,4.2815e+06,4.2819e+06,251.49
1.0486e+06,4.8831e+06,4.8834e+06,4.8839e+06,257.41
1.5729e+06,7.2913e+06,7.2918e+06,7.2922e+06,269.85
2.0972e+06,9.7e+06,9.7003e+06,9.7007e+06,256.96
2.6214e+06,1.2108e+07,1.2109e+07,1.2109e+07,278.54
3.1457e+06,1.4517e+07,1.4517e+07,1.4518e+07,233.45
3.67e+06,1.6925e+07,1.6926e+07,1.6926e+07,226.38
4.1943e+06,1.9337e+07,1.9337e+07,1.9337e+07,100.05
