1024,34008,34407,34822,212.85
2048,44482,45607,46677,1063.3
3072,41297,51701,59859,4065.8
4096,59527,59598,59664,54.535
5120,63171,75730,87229,11809
6144,70780,87372,99559,13484
7168,78502,1.1062e+05,1.1176e+05,6066.1
8192,1.2395e+05,1.2403e+05,1.2411e+05,71.22
16384,2.2628e+05,2.2634e+05,2.2638e+05,41.651
24576,3.0212e+05,3.1387e+05,3.3041e+05,11147
32768,3.7877e+05,3.856e+05,4.0406e+05,9157.5
40960,4.2502e+05,4.5243e+05,4.653e+05,10477
49152,4.5384e+05,5.0894e+05,5.4123e+05,16341
57344,5.3346e+05,5.721e+05,6.0105e+05,15320
65536,6.0421e+05,6.3551e+05,6.6811e+05,12525
1.3107e+05,1.0693e+06,1.1083e+06,1.1448e+06,19741
2.6214e+05,1.9807e+06,2.0811e+06,2.1707e+06,72117
3.9322e+05,3.0186e+06,3.0609e+06,3.1246e+06,21750
5.2429e+05,3.8427e+06,3.9649e+06,4.056e+06,52611
6.5536e+05,4.5404e+06,4.9406e+06,5.0716e+06,1.1007e+05
7.8643e+05,5.7319e+06,5.9267e+06,6.1112e+06,1.0242e+05
9.175e+05,6.761e+06,7.0759e+06,7.3406e+06,1.6307e+05
1.0486e+06,7.2579e+06,7.9293e+06,8.29e+06,2.5029e+05
1.5729e+06,1.1141e+07,1.2294e+07,1.2513e+07,2.3672e+05
2.0972e+06,1.5549e+07,1.5711e+07,1.5789e+07,70043
2.6214e+06,1.908e+07,1.9721e+07,1.9972e+07,1.7599e+05
3.1457e+06,2.257e+07,2.3113e+07,2.373e+07,5.0248e+05
3.67e+06,2.6569e+07,2.7099e+07,2.8556e+07,5.0144e+05
4.1943e+06,2.8988e+07,3.093e+07,3.1421e+07,5.2342e+05
