1024,9e-06,1.0267e-05,1.6e-05,1.388e-06
2048,9e-06,1.0333e-05,2.2e-05,2.2793e-06
3072,9e-06,1.97e-05,7.5e-05,1.8492e-05
4096,1e-05,1.0733e-05,1.2e-05,6.3968e-07
5120,1e-05,1.1267e-05,1.2e-05,5.8329e-07
6144,1.1e-05,1.1733e-05,1.3e-05,5.8329e-07
7168,1.1e-05,1.2033e-05,1.3e-05,5.5605e-07
8192,1.4e-05,1.67e-05,1.9e-05,2.0703e-06
16384,1.5e-05,1.96e-05,2.5e-05,2.6859e-06
24576,1.7e-05,2.0867e-05,2.4e-05,2.2242e-06
32768,2.3e-05,2.6e-05,3e-05,2.1972e-06
40960,2.6e-05,3.2767e-05,3.8e-05,3.9973e-06
49152,4e-05,4.2167e-05,4.5e-05,1.9841e-06
57344,4.2e-05,4.4533e-05,5.4e-05,1.9605e-06
65536,4.7e-05,5.0433e-05,5.6e-05,2.5282e-06
1.3107e+05,6.7e-05,7.6267e-05,0.000122,1.0815e-05
2.6214e+05,0.000214,0.00027093,0.000325,4.0677e-05
3.9322e+05,0.000335,0.00038963,0.00048,4.1955e-05
5.2429e+05,0.000492,0.00054353,0.000599,3.8023e-05
6.5536e+05,0.000559,0.00064233,0.000727,7.0093e-05
7.8643e+05,0.000746,0.00080927,0.000889,4.845e-05
9.175e+05,0.000803,0.00083057,0.000868,1.0957e-05
1.0486e+06,0.000943,0.00097387,0.001136,3.3631e-05
1.5729e+06,0.001516,0.0017571,0.001906,0.00011197
2.0972e+06,0.002075,0.0022348,0.002412,8.9082e-05
2.6214e+06,0.002553,0.0027944,0.002959,0.00011022
3.1457e+06,0.003066,0.0033083,0.004313,0.00019765
3.67e+06,0.00359,0.0037428,0.003918,0.00010879
4.1943e+06,0.004103,0.0043166,0.004618,0.00011866
